rpm_r;pwm;e;errSum;dErr;rpm;
27;100;1972.167;32.93518;-12127.57;2000;
150;100;2049.865;200;-1464.712;2200;
296;100;1903.204;200;-1462.205;2200;
443;100;1756.876;200;-1458.506;2200;
588;100;1611.097;200;-1451.877;2200;
733;100;1466.17;200;-1441.95;2200;
877;100;1322.458;200;-1428.179;2200;
1019;100;1180.375;200;-1410.066;2200;
1159;100;1040.384;200;-1387.165;2200;
1297;100;902.9934;200;-1358.972;2200;
1431;100;768.7645;200;-1324.916;2200;
1561;100;638.0524;200;-1290.115;2200;
1687;100;512.1742;200;-1216.259;2200;
1808;100;391.6089;200;-1170.004;2200;
1919;100;280.2971;200;-996.6639;2200;
2020;100;179.5977;200;-960.5034;2200;
2112;100;87.73511;200;-871.9767;2200;
2196;100;3.156006;200;-808.968;2200;
2263;67;-63.50244;196.0899;-335.7445;2200;
2267;55;-67.03101;189.3251;41.72319;2200;
2265;52;-65.06738;182.7595;-7.558126;2200;
2266;42;-66.76172;176.1045;1.63735;2200;
2264;40;-64.72437;169.5482;9.429383;2200;
2263;36;-63.56543;163.1156;26.21222;2200;
2259;38;-59.20703;157.0137;-17.04599;2200;
2246;60;-46.3877;151.6853;283.4809;2200;
2232;83;-32.41333;147.8306;123.0352;2200;
2226;93;-26.03589;144.964;68.71024;2200;
2215;100;-15.75269;142.9908;84.87907;2200;
2211;100;-11.47314;141.7124;20.27683;2200;
2211;100;-11.36035;140.5946;-11.09597;2200;
2213;100;-13.50806;139.3431;-27.45486;2200;
2215;100;-15.96948;137.8261;-7.11955;2200;
2218;99;-18.36084;136.1008;-11.13983;2200;
2218;97;-18.53027;134.2178;9.093143;2200;
2217;97;-17.43823;132.4184;12.52865;2200;
2216;97;-16.51636;130.7335;0.6140064;2200;
2215;98;-15.59399;129.1284;13.71281;2200;
2214;97;-14.89063;127.623;-8.011321;2200;
2214;97;-14.52539;126.1781;6.505544;2200;
2214;96;-14.11865;124.7476;0.9794863;2200;
