time;elev_torq;ail_torq;Pitch;Aileron;Elevator;Rudder;ErrorRud;ErrSumRud;out_I;out_P;out_D;torq_main_rotor;torq_tail_rotor;force_tail;Piro_rate;tail_limt;tail_angle;Pcomp;
0.0167;0;0;0;0;0;0;0;-0.007332271;-0.4399363;0;2.588875E-06;0;0;0;0;-0.4399337;-5.397679;0;
0.0334;0;0;-0.001787204;0;0;0;0.01787183;-0.007302425;-0.4381455;0.0008935914;0.0004280677;0.3660796;-0.2146794;0.5229709;2.092875E-07;-0.4368238;-5.288835;0.01787204;
0.0501;0;0;-0.001787204;0;0;0;0.03416242;-0.007245374;-0.4347224;0.001708121;0.0003901939;0.5321559;-0.3929964;0.7602227;-0.03416242;-0.4326241;-5.141844;0;
0.0668;0;0;-0.001787204;0;0;0;0.08833204;-0.007097859;-0.4258716;0.004416602;0.001297476;0.7326922;-0.5291576;1.046703;-0.08833204;-0.4201575;-4.705511;0;
0.0835;0;0;-0.001787204;0;0;0;0.1619093;-0.006827471;-0.4096482;0.008095467;0.00176233;0.942708;-0.5938746;1.346726;-0.1619093;-0.3997904;-3.992665;0;
0.1002;0;0;-0.001787204;0;0;0;0.2511068;-0.006408122;-0.3844873;0.01255534;0.002136466;1.156669;-0.546187;1.652385;-0.2511068;-0.3697955;-2.942844;0;
0.1169;0;0;-0.001787204;0;0;0;0.3494298;-0.005824575;-0.3494745;0.01747149;0.002355043;1.372643;-0.3455539;1.960919;-0.3494298;-0.329648;-1.537678;0;
0.1336;0;0;-0.001787204;0;0;0;0.4479334;-0.005076526;-0.3045916;0.02239667;0.002359367;1.589775;0.04230889;2.271107;-0.4479334;-0.2798355;0.2057567;0;
0.1503;0;0;-0.001787204;0;0;0;0.5356709;-0.004181956;-0.2509173;0.02678354;0.002101497;1.807617;0.6373048;2.58231;-0.5356709;-0.2220323;2.228869;0;
0.167;0;0;-0.001787204;0;0;0;0.6005795;-0.003178988;-0.1907393;0.03002897;0.001554698;2.025909;1.436828;2.894156;-0.6005795;-0.1591556;4.429553;0;
0.1837;0;0;-0.001787204;0;0;0;0.6308231;-0.002125514;-0.1275308;0.03154115;0.000724397;2.24448;2.409182;3.2064;-0.6308231;-0.09526526;6.665716;0;
0.2004;0;0;-0.001787204;0;0;0;0.6165067;-0.001095947;-0.06575684;0.03082534;-0.0003429073;2.463208;3.490357;3.518869;-0.6165067;-0.03527441;8.765395;0;
0.2171;0;0;-0.001787204;0;0;0;-5.329443E-05;-0.001096036;-0.06576218;-2.664722E-06;-0.0147679;2.671347;3.108263;3.81621;5.329443E-05;-0.08053275;7.181354;0;
0.2338;0;0;-0.001787204;0;0;0;1.301812E-05;-0.001096015;-0.06576088;6.50906E-07;1.588325E-06;2.891093;3.606233;4.130133;-1.301812E-05;-0.06575864;7.698448;0;
0.2505;0;0;-0.001787204;0;0;0;-2.199934E-05;-0.001096051;-0.06576309;-1.099967E-06;-8.387414E-07;3.110738;3.880095;4.443912;2.199934E-05;-0.06576502;7.698224;0;
0.2672;0;0;-0.001787204;0;0;0;-1.710073E-05;-0.00109608;-0.0657648;-8.550364E-07;1.173319E-07;3.330288;4.152137;4.757554;1.710073E-05;-0.06576554;7.698206;0;
0.2839;0;0;-0.001787204;0;0;0;0.0001322024;-0.001095859;-0.06575155;6.610119E-06;3.576122E-06;3.549725;4.416244;5.071035;-0.0001322024;-0.06574137;7.699052;0;
0.3006;0;0;-0.001787204;0;0;0;0.0001260265;-0.001095649;-0.06573892;6.301326E-06;-1.479248E-07;3.769064;4.690712;5.384377;-0.0001260265;-0.06573277;7.699353;0;
0.3173;0;0;-0.001787204;0;0;0;9.085229E-05;-0.001095497;-0.06572983;4.542615E-06;-8.424964E-07;3.988283;4.967645;5.697547;-9.085229E-05;-0.06572612;7.699585;0;
0.334;0;0;-0.001787204;0;0;0;8.186611E-05;-0.00109536;-0.06572162;4.093306E-06;-2.152378E-07;4.207364;5.242962;6.01052;-8.186611E-05;-0.06571774;7.699879;0;
0.3507;0;0;-0.001787204;0;0;0;8.798337E-05;-0.001095213;-0.06571281;4.399169E-06;1.465212E-07;4.426296;5.516567;6.32328;-8.798337E-05;-0.06570826;7.700211;0;
0.3674;0;0;-0.001787204;0;0;0;9.158417E-05;-0.00109506;-0.06570363;4.579209E-06;8.624667E-08;4.645067;5.78934;6.63581;-9.158417E-05;-0.06569897;7.700536;0;
0.3841;0;0;-0.001787204;0;0;0;9.880547E-05;-0.001094896;-0.06569373;4.940273E-06;1.729653E-07;4.863667;6.061586;6.948095;-9.880547E-05;-0.06568862;7.700898;0;
0.4008;0;0;-0.001787204;0;0;0;0.000108062;-0.001094715;-0.0656829;5.4031E-06;2.217133E-07;5.082081;6.333582;7.260116;-0.000108062;-0.06567728;7.701295;0;
0.4175;0;0;-0.001787204;0;0;0;0.0001168989;-0.00109452;-0.06567119;5.844945E-06;2.116622E-07;5.300299;6.605445;7.571856;-0.0001168989;-0.06566513;7.70172;0;
0.4342;0;0;-0.001787204;0;0;0;0.000124794;-0.001094311;-0.06565869;6.239698E-06;1.891031E-07;5.518304;6.877185;7.883291;-0.000124794;-0.06565226;7.702171;0;
0.4509;0;0;-0.001787204;0;0;0;0.000133211;-0.001094089;-0.06564534;6.660551E-06;2.016066E-07;5.736083;7.148774;8.194405;-0.000133211;-0.06563848;7.702653;0;
0.4676;0;0;-0.001787204;0;0;0;0.0001405505;-0.001093854;-0.06563126;7.027525E-06;1.757958E-07;5.953621;7.420162;8.505174;-0.0001405505;-0.06562405;7.703158;0;
0.4843;0;0;-0.001787204;0;0;0;0.0001472987;-0.001093608;-0.0656165;7.364935E-06;1.616336E-07;6.170904;7.691311;8.815578;-0.0001472987;-0.06560898;7.703686;0;
0.501;0;0;-0.001787204;0;0;0;0.000156806;-0.001093347;-0.06560079;7.840302E-06;2.277202E-07;6.387917;7.962221;9.125596;-0.000156806;-0.06559272;7.704255;0;
0.5177;0;0;-0.001787204;0;0;0;0.0001613228;-0.001093077;-0.06558463;8.06614E-06;1.081864E-07;6.604642;8.232822;9.435203;-0.0001613228;-0.06557646;7.704824;0;
0.5344;0;0;-0.001787204;0;0;0;0.0001699402;-0.001092793;-0.0655676;8.497012E-06;2.06405E-07;6.821065;8.503137;9.744379;-0.0001699402;-0.0655589;7.705439;0;
0.5511;0;0;-0.001787204;0;0;0;0.000175576;-0.0010925;-0.06555;8.778798E-06;1.349877E-07;7.037169;8.773121;10.0531;-0.000175576;-0.06554109;7.706062;0;
0.5678;0;0;-0.001787204;0;0;0;0.0001821096;-0.001092196;-0.06553176;9.105482E-06;1.564949E-07;7.252936;9.042759;10.36134;-0.0001821096;-0.0655225;7.706713;0;
0.5845001;0;0;-0.001787204;0;0;0;0.0001887422;-0.001091881;-0.06551284;9.437113E-06;1.588651E-07;7.468351;9.312033;10.66907;-0.0001887422;-0.06550325;7.707386;0;
0.6012001;0;-1;-0.001787204;0;0;0;0.0001950884;-0.001091555;-0.06549329;9.754418E-06;1.520029E-07;7.683395;9.580917;10.97628;-0.0001950884;-0.06548338;7.708082;0;
0.6179001;0;-1;-0.001787204;0;0;0;0.0002045395;-0.001091213;-0.0654728;1.022697E-05;2.263738E-07;7.898051;9.849431;11.28293;-0.0002045395;-0.06546234;7.708818;0;
0.6346002;0;-1;-0.001787204;0;0;0;0.0002088117;-0.001090865;-0.06545188;1.044058E-05;1.02328E-07;8.112301;10.11748;11.589;-0.0002088117;-0.06544133;7.709553;0;
0.6513002;0;-1;-0.001787204;0;0;0;0.0002165432;-0.001090503;-0.06543019;1.082716E-05;1.851875E-07;8.326124;10.38509;11.89446;-0.0002165432;-0.06541917;7.710329;0;
0.6680002;0;-1;-0.001787204;0;0;0;0.0002212011;-0.001090134;-0.06540802;1.106006E-05;1.115663E-07;8.539507;10.65223;12.1993;-0.0002212011;-0.06539685;7.71111;0;
0.6847003;0;-1;-0.001787204;0;0;0;0.0002290117;-0.001089751;-0.06538507;1.145058E-05;1.870791E-07;8.752424;10.9189;12.50346;-0.0002290117;-0.06537344;7.71193;0;
0.7014003;0;-2;-0.001787204;0;0;0;0.0002354871;-0.001089358;-0.06536148;1.177436E-05;1.551001E-07;8.96486;11.18503;12.80694;-0.0002354871;-0.06534955;7.712766;0;
0.7181003;0;-2;-0.001787204;0;0;0;0.0002402339;-0.001088957;-0.06533741;1.20117E-05;1.136963E-07;9.176794;11.45063;13.10971;-0.0002402339;-0.06532529;7.713615;0;
0.7348003;0;-2;-0.001787204;0;0;0;0.0002476613;-0.001088543;-0.06531259;1.238307E-05;1.779014E-07;9.388206;11.71568;13.41172;-0.0002476613;-0.06530003;7.714499;0;
0.7515004;0;-2;-0.001787204;0;0;0;0.0002534838;-0.00108812;-0.0652872;1.267419E-05;1.394614E-07;9.599074;11.98014;13.71296;-0.0002534838;-0.06527438;7.715397;0;
