Power_pitch;Power_cyclic;Power_tail;Power_0;Power_oversp;
0;0;0;0;0;
0;0;134;734;0;
0;0;67;732;0;
0;0;78;729;0;
0;0;79;727;0;
0;0;78;727;0;
0;0;76;727;0;
0;0;76;727;0;
0;1;76;727;0;
0;2;76;727;0;
0;3;76;727;0;
0;0;76;727;0;
0;0;76;727;0;
0;0;76;727;0;
0;1;76;727;0;
0;1;76;727;0;
0;2;76;727;0;
0;0;76;727;0;
0;0;76;727;0;
0;0;76;727;0;
0;0;76;727;0;
0;1;77;727;0;
0;2;77;727;0;
0;2;77;727;0;
490;0;-165;727;0;
1025;0;79;723;0;
1583;1;261;707;0;
583;0;438;705;0;
186;0;64;722;0;
189;0;125;724;0;
192;0;92;725;0;
194;0;101;725;0;
197;0;100;725;0;
281;0;75;724;0;
199;0;24;724;0;
78;0;114;726;0;
69;0;114;726;0;
70;0;64;726;0;
72;0;93;727;0;
74;97;85;727;0;
215;1470;185;719;0;
931;2271;8;705;0;
1183;20;249;674;0;
1213;457;216;677;0;
968;1294;245;669;0;
630;524;157;664;0;
486;109;164;683;0;
381;462;175;696;0;
333;156;105;714;0;
334;0;113;726;0;
333;83;116;730;0;
332;67;115;730;0;
133;390;120;730;0;
7;188;129;731;235;
0;72;59;736;24;
0;268;62;735;11;
0;1;87;734;4;
0;65;76;734;0;
0;22;80;734;4;
0;29;80;734;7;
0;53;95;734;11;
0;6;73;734;12;
0;112;78;733;0;
0;12;69;732;0;
9;132;125;733;0;
13;143;80;732;0;
13;1;55;732;0;
13;74;88;732;0;
31;2061;119;726;0;
88;2604;166;714;0;
793;2155;144;694;0;
1155;1968;180;676;0;
423;52;153;665;0;
33;231;5;680;0;
28;430;95;708;0;
29;13;86;726;0;
303;2847;86;720;0;
776;2975;156;697;0;
1240;2337;190;659;0;
1200;2093;218;638;0;
713;1955;127;615;0;
265;1693;108;608;0;
95;413;150;617;0;
47;60;94;637;0;
40;386;76;666;0;
41;181;79;685;0;
42;89;83;717;0;
43;854;83;735;0;
43;309;84;745;0;
42;6;85;751;0;
42;280;85;752;0;
42;176;84;752;0;
10;2422;12;738;0;
0;2451;12;725;0;
552;2170;85;710;0;
926;2027;119;695;0;
402;515;133;679;0;
31;102;64;694;0;
41;508;110;722;0;
96;226;3;737;0;
397;516;212;751;0;
504;698;117;743;0;
466;824;107;743;0;
679;3443;186;729;0;
937;3035;177;681;0;
1112;2635;174;654;0;
1105;2436;214;620;0;
917;2365;183;600;0;
259;122;131;582;0;
112;229;-13;600;0;
0;365;143;629;0;
0;204;77;647;0;
0;30;92;680;0;
0;5;98;703;0;
0;18;76;737;0;
0;0;82;760;0;
0;148;81;773;0;
0;456;81;774;0;
0;378;81;771;0;
0;3406;81;761;0;
244;2445;77;723;0;
652;2419;141;709;0;
862;2484;122;680;0;
522;1290;125;661;0;
19;1047;101;679;0;
20;332;64;692;0;
61;2;11;721;0;
369;903;27;726;0;
769;3107;174;707;0;
850;2584;172;679;0;
595;2490;203;651;0;
398;2480;87;636;0;
51;2375;85;623;0;
12;2342;94;618;0;
0;572;98;627;0;
0;181;69;642;0;
0;209;78;671;0;
0;68;77;692;0;
0;19;79;726;0;
0;13;80;749;0;
0;747;81;773;0;
0;2935;81;762;0;
0;3493;78;722;0;
0;3167;77;701;0;
212;2866;98;677;0;
341;2691;142;663;0;
363;248;161;664;0;
389;705;105;675;0;
468;188;150;691;0;
557;60;128;704;0;
685;50;157;723;0;
864;1933;181;731;0;
1113;3038;250;702;0;
1111;2770;222;671;0;
1099;2448;203;632;0;
1030;2297;187;612;0;
298;45;109;601;0;
153;144;4;618;0;
0;377;174;647;19;
0;175;58;666;0;
0;38;81;699;0;
0;7;78;722;0;
0;2;80;756;0;
0;106;-27;773;0;
0;201;125;775;0;
0;2;136;773;0;
0;37;180;775;0;
0;210;68;772;0;
0;44;86;771;0;
0;2;80;771;0;
0;0;81;771;0;
0;0;81;769;0;
0;7;81;768;0;
0;515;81;767;0;
1;3479;96;754;0;
287;3206;47;724;0;
624;2512;130;703;0;
255;240;85;680;0;
86;115;150;698;0;
333;1;6;727;0;
669;14;98;742;0;
979;1245;186;749;0;
951;2664;194;730;0;
911;2125;176;694;0;
893;1989;178;677;0;
878;171;174;667;0;
638;776;82;674;0;
13;1622;144;681;0;
152;1801;254;683;0;
538;378;131;693;0;
529;2953;143;694;0;
258;2693;55;663;0;
58;2604;166;652;0;
257;741;62;643;0;
604;64;94;657;0;
507;2673;122;660;0;
245;2557;179;646;0;
174;1098;150;639;0;
582;144;103;651;0;
729;2575;155;649;0;
487;2438;66;631;0;
0;569;-8;624;0;
338;153;27;642;0;
590;2528;123;643;0;
578;2414;156;628;0;
0;2298;18;613;0;
131;278;142;610;0;
1102;2173;165;624;0;
1064;2250;209;606;0;
43;1930;89;588;0;
11;127;-35;593;0;
603;1542;109;620;0;
591;2300;133;613;0;
22;2215;77;602;0;
0;2199;-19;599;0;
46;1762;132;599;0;
586;1;93;609;0;
1400;2306;221;614;0;
1345;2151;243;593;0;
1270;1973;225;568;0;
540;1896;165;557;0;
271;765;205;558;0;
580;4;91;571;0;
573;399;159;594;0;
569;1;136;604;0;
567;0;141;628;0;
566;1;140;643;0;
565;0;140;665;0;
564;0;140;680;0;
562;1;140;702;0;
561;0;140;716;0;
1385;422;172;723;0;
1582;832;209;713;0;
1516;546;249;695;0;
1486;81;161;690;0;
979;1321;87;688;0;
748;791;232;683;0;
95;3041;-3;694;0;
0;2420;-13;695;0;
48;3176;141;678;0;
139;3242;-13;658;0;
284;1705;130;638;0;
583;1634;112;638;0;
1003;2605;203;627;0;
1115;2745;246;604;0;
1087;1438;215;578;0;
1063;455;235;573;0;
1134;637;189;578;0;
1129;360;224;580;0;
1349;0;319;587;0;
1344;131;251;591;0;
1381;178;241;596;0;
1515;56;249;598;0;
1542;19;259;601;0;
1528;9;256;603;0;
1510;0;252;606;0;
1500;9;251;609;0;
1486;58;249;612;0;
1478;5;248;614;0;
1468;10;228;618;0;
1462;53;244;620;0;
1504;113;256;623;0;
1448;32;237;624;0;
1447;96;242;628;0;
912;148;150;629;0;
175;74;231;714;0;
330;10;22;731;0;
251;0;171;759;0;
243;6;100;770;0;
230;16;99;773;0;
243;3;119;772;0;
233;2;105;771;0;
208;5;92;770;0;
219;235;106;769;0;
366;480;205;765;0;
698;197;99;758;0;
785;112;137;755;0;
659;273;120;754;0;
615;175;154;755;0;
600;1;143;757;0;
621;56;133;757;0;
608;44;147;756;0;
600;3;144;756;0;
591;14;144;755;0;
713;16;99;753;0;
1072;1;257;751;0;
1311;6;205;746;0;
1504;196;236;741;0;
1768;1436;240;730;0;
1633;2027;286;689;0;
1602;1857;355;661;0;
1069;1480;250;628;0;
92;1642;155;621;0;
13;2490;98;623;0;
72;2335;163;618;0;
557;2340;71;607;0;
636;1973;79;599;0;
479;582;121;599;0;
452;156;118;610;0;
314;126;108;636;0;
279;180;109;653;0;
292;139;104;678;0;
298;15;112;695;0;
308;61;112;722;0;
314;73;114;739;0;
325;139;136;764;0;
327;380;135;769;0;
325;19;119;770;0;
233;155;26;770;0;
0;160;118;777;0;
469;15;73;769;0;
721;38;78;763;0;
700;47;157;761;0;
675;1;150;760;0;
661;9;152;759;0;
673;17;138;758;0;
863;458;88;747;0;
486;1926;78;746;0;
203;2671;37;734;0;
22;2806;64;714;0;
0;607;81;713;0;
0;580;42;735;0;
0;357;90;752;0;
0;459;83;759;0;
0;164;81;760;0;
0;27;81;764;0;
0;115;81;763;0;
0;49;80;762;0;
0;0;81;762;0;
0;18;81;761;0;
0;277;81;760;0;
6;2432;60;749;0;
218;2537;91;732;0;
405;2224;235;712;0;
429;1064;130;698;0;
379;145;110;715;0;
379;483;121;729;0;
376;151;120;745;0;
373;3;121;751;0;
365;2041;118;744;0;
469;2853;175;726;0;
608;2342;132;695;0;
