rpm_r;pwm;e;errSum;dErr;rpm;
0;100;2200;44;110000;2200;
132;100;2067.689;200;-1312.805;2200;
263;100;1936.465;200;-1311.841;2200;
394;100;1805.378;200;-1309.937;2200;
499;100;1700.72;200;-1307.05;2200;
629;100;1570.325;200;-1301.587;2200;
785;100;1414.787;200;-1291.724;2200;
913;100;1286.283;200;-1280.042;2200;
1040;100;1159.194;200;-1264.423;2200;
1166;100;1033.862;200;-1245.264;2200;
1289;100;910.703;200;-1221.985;2200;
1409;100;790.1287;200;-1194.403;2200;
1519;100;680.9767;200;-967.0471;2200;
1599;100;600.9298;200;-745.8069;2200;
1673;100;526.2637;200;-770.0317;2200;
1757;100;442.3837;200;-858.3557;2200;
1840;100;359.8843;200;-806.311;2200;
1918;100;281.9338;200;-759.7534;2200;
1987;100;212.9512;200;-609.6497;2200;
2048;100;151.9949;200;-615.1184;2200;
2111;100;88.48242;200;-511.1694;2200;
2113;100;86.97485;200;586.6943;2200;
2001;100;198.1079;200;1047.186;2200;
1958;100;241.2349;200;192.6331;2200;
1995;100;204.7164;200;-732.5378;2200;
2081;100;118.5669;200;-780.1392;2200;
2164;100;35.14648;200;-896.228;2200;
2249;95;-49.396;198.0352;-828.0884;2200;
2275;40;-75.34521;190.8395;-11.58447;2200;
2272;38;-72.65698;183.4444;34.79004;2200;
2269;38;-69.17065;176.3889;34.28955;2200;
2265;38;-65.83887;169.6718;33.03223;2200;
2257;48;-57.8125;163.473;170.4468;2200;
2232;92;-32.90991;159.3381;-131.3721;2200;
2211;100;-11.90039;157.8846;-11.6333;2200;
2217;100;-17.83032;156.2915;-13.04932;2200;
2213;100;-13.93579;154.6407;119.7266;2200;
2204;100;-4.051025;153.8835;73.48633;2200;
2200;100;-0.07763672;153.699;54.67529;2200;
2186;100;13.0603;154.4777;116.0767;2200;
2190;100;9.905273;155.6043;23.62061;2200;
2215;100;-15.5957;155.177;-325.0244;2200;
2244;63;-44.04663;151.6044;-101.5381;2200;
2244;57;-44.72461;147.0358;50.10986;2200;
2240;61;-40.20483;142.9421;-159.9609;2200;
2219;100;-19.91675;140.3202;100.7202;2200;
2222;92;-22.99146;138.1141;-4.992676;2200;
2221;92;-21.68433;135.9049;9.033203;2200;
