time;elev_torq;ail_torq;Pitch;Vel_oversp;Aileron;Elevator;Rudder;ErrorRud;ErrSumRud;out_I;out_P;out_D;torq_main_rotor;torq_tail_rotor;force_tail;Piro_rate;tail_limt;tail_angle;Pcomp;
0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;
0.04;0;0;0;0;0;0;0;9.381406E-13;1.876281E-15;1.125769E-13;5.628844E-14;0;0;3.961358E-08;0;-9.381406E-13;1.688653E-13;10;0;
0.06;0;0;0;0;0;0;0;-1.848211E-09;-3.694547E-12;-2.216728E-10;-1.108927E-10;0;0;1.477019E-07;0;1.848211E-09;-3.325655E-10;10;0;
0.08;0;0;0;0;0;0;0;-8.921076E-09;-2.15367E-11;-1.292202E-09;-5.352646E-10;0;0;-8.978086E-08;0;8.921076E-09;-1.827467E-09;10;0;
0.09999999;0;0;0;0;0;0;0;-4.508472E-09;-3.055364E-11;-1.833219E-09;-2.705083E-10;0;0;1.463937E-08;0;4.508472E-09;-2.103727E-09;10;0;
0.12;0;0;0;0;0;0;0;-5.186629E-09;-4.09269E-11;-2.455614E-09;-3.111978E-10;0;0;1.889138E-07;0;5.186629E-09;-2.766812E-09;10;0;
0.14;0;0;0;0;0;0;0;-1.434185E-08;-6.96106E-11;-4.176636E-09;-8.605111E-10;0;0;4.256575E-07;0;1.434185E-08;-5.037147E-09;10;0;
0.16;0;0;0;0;0;0;0;-3.500017E-08;-1.396109E-10;-8.376657E-09;-2.10001E-09;0;0;-2.291202E-07;0;3.500017E-08;-1.047667E-08;10;0;
0.18;0;0;0;0;0;0;0;-2.359506E-08;-1.868011E-10;-1.120806E-08;-1.415703E-09;0;0;6.555572E-09;0;2.359506E-08;-1.262377E-08;10;0;
0.2;0;0;0;0;0;0;0;-2.377471E-08;-2.343505E-10;-1.406103E-08;-1.426483E-09;0;0;3.148074E-07;0;2.377471E-08;-1.548751E-08;9.999999;0;
0.22;0;0;0;0;0;0;0;-3.900685E-08;-3.123642E-10;-1.874185E-08;-2.340411E-09;0;0;6.82812E-07;0;3.900685E-08;-2.108226E-08;9.999999;0;
0.24;0;0;0;0;0;0;0;-7.215011E-08;-4.566644E-10;-2.739986E-08;-4.329006E-09;0;0;-3.973989E-07;0;7.215011E-08;-3.172887E-08;9.999999;0;
0.26;0;0;0;0;0;0;0;-5.226117E-08;-5.611868E-10;-3.367121E-08;-3.13567E-09;0;0;-2.589248E-08;0;5.226117E-08;-3.680688E-08;9.999999;0;
0.28;0;0;0;0;0;0;0;-5.067534E-08;-6.625375E-10;-3.975225E-08;-3.040521E-09;0;0;3.957748E-07;0;5.067534E-08;-4.279277E-08;9.999998;0;
0.3;0;0;0;0;0;0;0;0.0004053758;8.100891E-07;4.860535E-05;2.432255E-05;0;0;0.0001390583;0;-0.0004053758;7.292789E-05;10.00255;0;
0.32;0;0;0;0;0;0;0;-1.102749E-05;7.880341E-07;4.728205E-05;-6.616492E-07;0;0;-4.714698E-06;0;1.102749E-05;4.66204E-05;10.00163;0;
0.34;0;0;0;0;0;0;0;-5.907758E-06;7.762186E-07;4.657312E-05;-3.544655E-07;0;0;-1.1608E-06;0;5.907758E-06;4.621865E-05;10.00162;0;
0.36;0;0;0;0;0;0;0;-2.400646E-06;7.714173E-07;4.628504E-05;-1.440388E-07;0;0;-1.056736E-06;0;2.400646E-06;4.6141E-05;10.00161;0;
0.38;0;0;0;0;0;0;0;-1.141214E-06;7.691349E-07;4.614809E-05;-6.847282E-08;0;0;-6.871655E-07;0;1.141214E-06;4.607962E-05;10.00161;0;
