Power_pitch;Power_cyclic;Power_tail;Power_0;Power_oversp;
0;0;0;0;0;
0;0;18;0;2;
0;0;45;4;7;
0;0;63;8;10;
0;0;13;18;15;
-1;0;-60;26;36;
0;0;-76;40;0;
0;0;-10;52;0;
0;0;132;65;0;
0;0;74;86;0;
0;0;-34;102;0;
0;0;-4;129;0;
0;0;55;158;0;
0;0;51;180;0;
0;0;47;213;0;
0;0;50;237;0;
0;0;54;275;0;
0;0;56;302;0;
0;0;60;343;0;
0;0;63;372;0;
0;0;66;417;0;
0;0;68;447;0;
13;0;14;494;0;
203;0;126;525;0;
459;0;123;568;0;
584;0;162;594;0;
658;0;140;631;0;
479;0;83;654;0;
284;0;113;695;0;
188;0;89;724;0;
127;0;76;771;0;
75;0;107;779;0;
65;0;105;779;0;
66;0;102;778;0;
290;0;168;774;0;
361;0;94;772;0;
357;0;99;770;0;
355;0;128;770;0;
352;0;-29;768;0;
350;0;57;767;0;
300;0;149;767;0;
299;4;139;766;0;
175;2;97;766;0;
142;5;24;764;0;
144;51;93;764;0;
304;633;197;764;0;
456;1598;118;754;0;
634;2740;143;741;0;
680;2503;172;717;0;
668;2510;154;707;0;
439;2617;124;693;0;
266;2677;97;687;0;
21;2265;79;683;0;
0;23;-17;700;10;
0;640;80;744;0;
0;256;75;760;0;
0;46;82;765;0;
0;9;80;765;0;
0;1;81;764;0;
0;244;81;763;0;
0;1956;80;753;0;
0;3002;79;740;0;
0;2573;79;728;0;
9;2614;135;727;0;
311;2557;102;722;0;
599;135;138;726;0;
656;397;170;749;0;
647;218;157;751;0;
803;98;240;750;0;
936;1088;217;744;0;
1317;1175;244;726;0;
1581;511;388;724;0;
1593;21;233;725;0;
1780;542;212;730;0;
1732;572;270;729;0;
1701;274;232;728;0;
1674;64;205;735;0;
1658;135;265;738;0;
1634;102;257;739;0;
1618;98;265;738;0;
1597;86;251;738;0;
1588;93;266;738;0;
1579;4;248;738;0;
1574;1;249;738;0;
1564;7;251;738;0;
1557;4;239;738;0;
1544;17;240;738;0;
1534;61;217;738;0;
1515;1;248;737;0;
1502;14;203;737;0;
1486;12;228;737;0;
1476;1;243;737;0;
1462;10;237;737;0;
1455;19;237;737;0;
1448;0;236;737;0;
1444;21;236;736;0;
1440;26;235;736;0;
1439;1;235;736;0;
1437;465;235;735;0;
1438;96;234;734;0;
1450;77;237;734;0;
1462;102;238;734;0;
1483;0;240;734;0;
1497;84;242;734;0;
1521;139;244;733;0;
1541;132;246;732;0;
1578;103;251;732;0;
1602;62;253;731;0;
522;5;140;738;0;
191;36;76;744;0;
0;424;-34;780;0;
89;128;162;762;0;
652;9;123;744;0;
981;198;186;738;0;
1272;57;206;733;0;
1307;11;236;732;0;
1337;38;233;731;0;
1375;32;239;731;0;
1360;8;228;730;0;
1351;1;226;730;0;
1336;0;224;731;0;
1325;1;223;731;0;
1307;2;221;731;0;
1345;4;235;731;0;
1375;114;231;730;0;
1358;54;229;729;0;
1379;77;231;729;0;
1361;36;229;729;0;
1438;51;253;729;0;
1420;24;238;729;0;
1398;1;231;729;0;
1385;6;229;729;0;
1369;0;228;729;0;
1361;6;227;729;0;
1351;147;226;729;0;
1342;109;226;729;0;
1323;13;223;729;0;
1311;3;221;729;0;
1299;17;220;729;0;
1294;0;220;729;0;
1288;1;219;729;0;
1284;1;219;729;0;
1328;0;233;729;0;
1420;1;210;728;0;
1459;4;244;727;0;
1449;6;237;727;0;
1436;27;236;727;0;
1376;47;220;727;0;
1413;14;235;727;0;
1405;12;233;727;0;
1401;41;230;727;0;
1403;79;231;727;0;
1416;40;233;727;0;
1430;28;235;727;0;
1449;23;237;727;0;
1458;17;238;727;0;
1471;39;239;726;0;
1482;49;240;726;0;
1501;0;242;726;0;
1510;13;244;726;0;
1522;39;245;726;0;
1532;60;246;726;0;
1548;40;248;725;0;
1558;67;249;725;0;
1575;68;251;725;0;
1587;151;252;725;0;
1602;128;254;724;0;
1628;172;256;724;0;
1647;191;259;723;0;
1675;245;262;723;0;
1695;269;264;722;0;
1727;331;267;722;0;
1749;301;270;721;0;
1779;365;273;721;0;
1798;341;275;721;0;
1824;386;278;720;0;
1840;429;280;718;0;
1862;293;283;716;0;
1874;137;284;715;0;
1867;999;284;717;0;
1812;228;279;712;0;
1726;20;268;717;0;
1671;6;261;723;0;
1591;3;252;727;0;
1545;4;247;728;0;
1486;1;241;728;0;
1449;39;237;729;0;
1386;158;230;728;0;
1337;40;225;729;0;
1271;13;217;730;0;
1234;18;213;731;0;
1187;6;208;731;0;
1163;8;205;731;0;
1137;38;202;732;0;
1085;17;210;732;0;
1082;73;195;732;0;
603;274;162;734;0;
135;480;-146;1243;4050;
28;160;98;1371;850;
137;32;-88;1340;0;
731;721;-75;1295;0;
951;21;-15;1202;0;
921;1;-30;1152;0;
997;2;57;1085;0;
857;0;-9;1042;0;
690;0;9;989;0;
665;0;-2;958;0;
507;0;12;915;0;
439;0;33;890;0;
280;0;-37;857;0;
78;0;-20;840;0;
2;0;126;820;85;
0;0;81;808;0;
88;0;-55;786;0;
159;0;118;771;0;
203;0;83;744;0;
215;0;92;727;0;
205;0;101;703;0;
199;0;99;687;0;
158;0;109;684;0;
173;0;79;685;0;
152;0;70;686;0;
150;0;64;687;0;
132;0;81;688;0;
116;0;104;689;0;
114;0;87;690;0;
86;0;62;691;0;
63;0;83;692;0;
62;0;78;693;0;
34;0;83;694;0;
34;0;73;695;0;
34;0;83;696;0;
19;0;52;697;0;
5;0;51;713;161;
0;0;172;706;0;
0;0;61;699;0;
0;0;80;699;0;
0;0;76;700;0;
0;0;77;700;0;
39;0;47;701;0;
129;0;60;700;0;
173;0;105;701;0;
188;0;85;701;0;
394;0;160;701;0;
521;0;132;699;0;
758;0;164;698;0;
711;0;157;698;0;
459;0;71;699;0;
356;0;135;702;0;
331;0;121;704;0;
329;0;116;704;0;
328;0;114;705;0;
327;0;114;705;0;
326;0;114;706;0;
325;0;114;706;0;
324;0;114;707;0;
323;0;113;707;0;
322;0;113;708;0;
322;0;113;708;0;
321;0;113;709;0;
321;0;113;709;0;
320;0;113;709;0;
320;0;113;710;0;
320;0;113;710;0;
256;0;148;711;0;
201;0;106;712;0;
184;0;109;713;0;
186;0;97;713;0;
204;0;86;713;0;
188;0;100;713;0;
188;0;96;714;0;
206;464;102;713;0;
474;1151;113;706;0;
897;1056;111;694;0;
1265;1586;157;686;0;
1500;2532;242;662;0;
1440;2346;248;644;0;
1141;40;201;640;0;
1069;13;213;657;0;
1084;102;196;682;0;
1219;44;241;698;0;
1393;0;227;712;0;
1377;8;235;712;0;
1356;4;226;713;0;
1344;16;227;714;0;
1327;3;224;714;0;
1317;0;223;715;0;
1304;0;221;715;0;
1296;8;221;715;0;
1286;2;219;716;0;
1280;14;219;716;0;
1271;15;218;716;0;
1267;0;217;717;0;
1261;6;217;717;0;
1257;129;216;717;0;
1255;113;216;717;0;
1256;123;216;717;0;
1217;86;203;717;0;
365;66;153;722;0;
33;80;160;752;1015;
0;51;201;766;-28;
735;0;132;736;0;
1049;46;175;723;0;
870;30;204;720;0;
597;49;137;722;0;
521;8;126;724;0;
608;0;123;724;0;
629;4;155;724;0;
526;3;182;725;0;
378;1;129;726;0;
350;0;100;726;0;
323;0;113;727;0;
322;0;112;727;0;
297;0;110;727;0;
296;0;109;727;0;
